Fecha,05AVO-115,02TVS-115,02MTT-115,05CRN-115,03KIM-115,06MEO-230,02THU-115,06VOT-115,01PHC-230,03EAT-115
2/25/2017,1167.965,1367.547917,1311.580833,1216.264167,1310.36625,1195.494583,1541.960417,1193.380417,1323.375417,1286.510833
2/26/2017,564.1483333,726.66125,695.0954167,630.94375,684.1616667,613.9291667,819.0954167,612.7879167,705.1079167,671.1491667
2/27/2017,1090.329583,1352.118333,1300.700417,1228.16375,1296.64125,1208.083333,1532.440833,1206.328333,1312.724167,1289.550833
2/28/2017,1216.259167,1526.475833,1471.528333,1377.509583,1464.260833,1355.969167,1736.30625,1352.835833,1485.671667,1458.390833
03/01/2017,1354.635833,1694.625833,1636.82,1509.967917,1629.532917,1499.684167,1935.478333,1495.096667,1648.5375,1626.525833
03/02/2017,891.59375,1205.24125,1165.077917,1071.127917,1167.611667,1056.48125,1376.811667,1051.724583,1180.532917,1161.512083
03/03/2017,627.2329167,791.3916667,775.2779167,713.5258333,778.9341667,704.48875,918.3954167,701.2783333,787.5833333,765.1575
03/04/2017,684.14375,879.5254167,868.11875,801.2670833,870.9666667,792.1020833,1028.70375,789.5445833,883.5995833,858.9475
03/05/2017,461.9908333,580.1816667,570.2958333,522.90875,569.1666667,516.6175,657.3208333,515.4154167,579.7154167,558.9116667
03/06/2017,1071.039583,1256.93875,1240.695,1167.942917,1238.529167,1168.712917,1448.08625,1167.13875,1253.541667,1242.864583
03/07/2017,1265.78125,1485.28875,1451.28875,1344.655417,1431.781667,1351.445417,1700.112083,1350.205833,1458.1575,1439.02125
03/08/2017,1130.63,1259.285,1242.6975,1177.102917,1246.332917,1173.050417,1469.451667,1171.846667,1257.175417,1248.227917
03/09/2017,1124.76,1302.49,1300.72625,1195.240417,1283.179583,1190.83625,1514.02625,1189.574583,1304.13,1277.26625
03/10/2017,966.1620833,1218.147917,1205.65625,1099.767917,1195.126667,1100.30625,1410.09375,1099.206667,1212.277083,1192.8575
03/11/2017,891.4083333,1195.15625,1154.760833,1033.81,1139.362083,1026.785833,1359.87125,1024.971667,1163.419167,1131.06375
03/12/2017,596.6675,819.5304167,781.2216667,681.5429167,767.0270833,676.5616667,924.79875,674.8058333,790.3375,750.1858333
3/13/2017,891.3879167,1070.494167,1049.924583,979.6758333,1047.939583,973.84375,1238.696667,972.5191667,1060.8525,1046.770417
3/14/2017,822.3279167,950.92625,943.3304167,893.3166667,945.2870833,880.2695833,1149.565417,878.4729167,952.755,938.3808333
3/15/2017,812.0716667,837.4508333,834.9629167,849.3491667,886.0245833,828.2133333,987.5041667,824.8183333,840.9575,887.2275
3/16/2017,811.3679167,840.01,841.9245833,838.2470833,860.1229167,818.40875,1000.119167,815.6783333,850.66875,862.4370833
3/17/2017,899.6604167,938.3291667,938.4975,927.9233333,946.4041667,906.47375,1110.0175,903.6058333,945.54375,950.6429167
3/18/2017,820.6825,931.57,926.5870833,888.1666667,926.3508333,881.7991667,1092.350833,879.405,934.8045833,927.9420833
3/19/2017,502.675,581.24,573.5166667,538.3066667,573.0383333,526.2358333,675.91125,524.6333333,581.7545833,562.1204167
3/20/2017,718.46625,818.2654167,799.3570833,749.2316667,787.42625,737.0783333,941.8158333,734.65625,805.0345833,778.5708333
3/21/2017,1144.2275,1216.4075,1206.51125,1168.19625,1202.205417,1149.317083,1410.552917,1145.43875,1209.08625,1204.44125
3/22/2017,1238.84,1313.812917,1294.654167,1245.328333,1298.54375,1224.675833,1516.620833,1219.724583,1300.341667,1290.593333
3/23/2017,1095.433333,1247.429583,1225.905833,1160.78125,1225.261667,1132.529167,1443.852083,1126.240417,1232.935,1215.543333
3/24/2017,1468.819167,1647.41,1592.797083,1549.21125,1595.112083,1473.775833,1896.688333,1460.816667,1604.587083,1589.28875
3/25/2017,1167.83625,1431.057083,1377.51625,1276.676667,1362.687083,1252.105833,1638.489167,1248.319167,1389.85,1358.7775
3/26/2017,718.44125,992.1995833,939.3291667,859.9870833,923.5025,793.27875,1121.702917,780.8354167,950.4829167,914.25375
3/27/2017,2028.3125,2131.282083,2090.125417,2036.765833,2086.092083,2054.115417,2538.586667,2051.203333,2097.405833,2095.597083
3/28/2017,2397.734167,2486.229583,2449.367083,2394.759167,2444.90125,2404.96875,2878.510417,2401.499583,2460.1025,2460.967917
3/29/2017,2230.9075,2305.144583,2291.20875,2193.30625,2273.417083,2184.659583,2679.967917,2180.377083,2295.709167,2272.42375
3/30/2017,1560.854583,1593.83375,1559.125,1504.985833,1554.590833,1474.12375,1834.334167,1469.135417,1574.658333,1554.674167
