Fecha,Clave_del_nodo,pml_mean
6/1/2018,01AAN-85,2994.692916666667
6/1/2018,01AAP-85,2855.077083333334
6/1/2018,01ACC-85,2822.76375
6/1/2018,01ACM-85,2824.7695833333332
6/1/2018,01ACN-85,2835.4937499999996
6/1/2018,01ACO-230,2793.390833333333
6/1/2018,01ACS-230,2788.0891666666666
6/1/2018,01AGU-230,2828.9154166666667
6/1/2018,01AGV-85,2848.6666666666665
6/1/2018,01AIN-115,2832.217916666666
6/1/2018,01ALR-85,2828.32875
6/1/2018,01AMO-85,2859.1195833333336
6/1/2018,01ANL-85,2872.192916666667
6/1/2018,01ANM-115,2788.3724999999995
6/1/2018,01ANS-85,2829.7187500000005
6/1/2018,01ANU-115,2918.3875000000003
6/1/2018,01ANU-69,2918.3875000000003
6/1/2018,01ARA-85,2821.888333333334
6/1/2018,01ARX-230,2783.674583333333
6/1/2018,01ASK-230,2780.287916666666
6/1/2018,01ATE-230,2843.7325
6/1/2018,01ATE-85,2842.4608333333326
6/1/2018,01ATG-69,2705.8770833333333
6/1/2018,01ATI-230,2822.329583333334
6/1/2018,01ATK-230,2817.0941666666663
6/1/2018,01ATM-115,2882.325833333334
6/1/2018,01ATS-115,2687.953333333333
6/1/2018,01ATU-115,2825.9300000000003
6/1/2018,01AUM-85,2825.0004166666663
6/1/2018,01AUO-115,2785.4550000000004
6/1/2018,01AUR-230,2808.6104166666664
6/1/2018,01AVA-115,2809.7041666666664
6/1/2018,01AVT-85,2844.912083333333
6/1/2018,01AYO-230,2810.415833333333
6/1/2018,01AZC-230,2819.971249999999
6/1/2018,01BAR-85,2835.360416666667
6/1/2018,01BBR-115,2800.7012499999996
6/1/2018,01BBV-230,2821.9291666666663
6/1/2018,01BDK-85,2828.645
6/1/2018,01CAH-85,2836.5579166666666
6/1/2018,01CAR-85,2826.2250000000004
6/1/2018,01CAY-115,2701.6829166666666
6/1/2018,01CCM-115,2866.3125
6/1/2018,01CCZ-230,2780.615
6/1/2018,01CDS-85,2842.450833333334
6/1/2018,01CEA-85,2798.017916666666
6/1/2018,01CEI-230,2818.815
6/1/2018,01CFD-230,2817.1433333333334
6/1/2018,01CFI-230,2816.9354166666667
6/1/2018,01CFZ-85,3013.3037499999996
6/1/2018,01CHA-85,2827.0808333333334
6/1/2018,01CHE-85,2835.410416666667
6/1/2018,01CHN-230,2804.9041666666667
6/1/2018,01CJM-230,2825.4499999999994
6/1/2018,01CMC-230,2820.9066666666663
6/1/2018,01CMO-115,2920.540833333334
6/1/2018,01CNA-69,2746.0904166666664
6/1/2018,01COA-230,2817.8899999999994
6/1/2018,01COM-115,2834.3554166666668
6/1/2018,01COY-230,2832.1408333333325
6/1/2018,01CPG-230,2798.9666666666667
6/1/2018,01CPM-230,2816.3391666666666
6/1/2018,01CRG-230,2814.2616666666668
6/1/2018,01CRG-85,2814.2316666666666
6/1/2018,01CRM-85,2785.6304166666664
6/1/2018,01CRS-230,2824.28
6/1/2018,01CRU-230,2812.26375
6/1/2018,01CSN-115,2850.1800000000003
6/1/2018,01CSR-115,2697.2654166666666
6/1/2018,01CTD-230,2827.9895833333326
6/1/2018,01CTG-230,2815.1924999999997
6/1/2018,01CTT-85,2831.972916666666
6/1/2018,01CVD-85,2824.101666666667
6/1/2018,01CYO-85,2834.5020833333333
6/1/2018,01DAA-230,2833.5508333333332
6/1/2018,01DCA-85,2861.518333333333
6/1/2018,01DCO-85,2832.945416666667
6/1/2018,01DOG-115,2785.6450000000004
6/1/2018,01DVA-230,2819.3433333333337
6/1/2018,01ECA-230,2811.4845833333334
6/1/2018,01ECB-115,2787.9300000000003
6/1/2018,01ECR-230,2847.4925
6/1/2018,01EDB-115,2794.431666666667
6/1/2018,01ELG-115,2833.3424999999993
6/1/2018,01ENB-115,2793.6920833333334
6/1/2018,01ESB-115,2790.2795833333334
6/1/2018,01EST-230,2820.148333333333
6/1/2018,01ETB-115,2788.2262499999997
6/1/2018,01EUB-115,2794.32625
6/1/2018,01EVD-230,2807.85
6/1/2018,01FMC-85,2825.1129166666665
6/1/2018,01FPG-115,2810.881666666666
6/1/2018,01FRR-115,2857.1012499999997
6/1/2018,01GMC-85,2843.025416666666
6/1/2018,01GMY-115,2692.595
6/1/2018,01GUA-85,2829.5420833333333
6/1/2018,01HTC-85,2824.5220833333333
6/1/2018,01HTM-115,2844.71875
6/1/2018,01HTT-85,2833.3487500000006
6/1/2018,01INM-85,2842.410833333333
6/1/2018,01INN-85,2823.216666666667
6/1/2018,01INS-85,2827.5887499999994
6/1/2018,01INU-115,2808.5537500000005
6/1/2018,01IRO-230,2780.1920833333334
6/1/2018,01ISC-85,2815.566666666667
6/1/2018,01ISO-115,2697.6499999999996
6/1/2018,01ITD-115,2817.0175
6/1/2018,01IUN-115,2805.7529166666664
6/1/2018,01IXL-230,2808.56625
6/1/2018,01IXS-115,2850.0558333333333
6/1/2018,01IXT-115,2800.7012499999996
6/1/2018,01IZT-230,2815.642916666667
6/1/2018,01JAM-85,2819.1125000000006
6/1/2018,01JAS-85,2775.2379166666665
6/1/2018,01JCP-85,2842.58375
6/1/2018,01JDV-85,2836.0195833333332
6/1/2018,01JID-115,2773.1320833333334
6/1/2018,01JIL-115,2774.3216666666667
6/1/2018,01JJA-85,2815.26375
6/1/2018,01JLC-230,2818.325416666666
6/1/2018,01JRB-230,2783.6412500000006
6/1/2018,01JUA-85,2994.745833333333
6/1/2018,01KCR-230,2820.382916666667
6/1/2018,01KDM-85,2843.1645833333337
6/1/2018,01LAC-115,2835.03
6/1/2018,01LAP-230,2806.2391666666667
6/1/2018,01LAQ-85,2833.9354166666667
6/1/2018,01LAZ-85,2819.1125000000006
6/1/2018,01LCD-115,2694.0937500000005
6/1/2018,01LCP-230,2685.7029166666666
6/1/2018,01LCP-400,2687.384166666667
6/1/2018,01LCT-85,2815.316666666667
6/1/2018,01LEC-85,2830.9308333333333
6/1/2018,01LER-85,2715.6637499999997
6/1/2018,01LES-115,2822.3150000000005
6/1/2018,01LFG-230,2784.442916666667
6/1/2018,01LOM-85,2837.5908333333336
6/1/2018,01LQX-85,2834.1370833333335
6/1/2018,01LVE-230,2821.9258333333332
6/1/2018,01MAD-230,2819.2350000000006
6/1/2018,01MAG-85,2821.19
6/1/2018,01MER-230,2820.78375
6/1/2018,01MGR-85,2826.1458333333335
6/1/2018,01MIR-115,2697.7204166666666
6/1/2018,01MLP-230,2823.099583333333
6/1/2018,01MOR-230,2817.5529166666674
6/1/2018,01MOS-85,2824.7770833333325
6/1/2018,01MTI-115,2811.6633333333325
6/1/2018,01MZA-85,2828.86375
6/1/2018,01NAR-230,2833.3804166666664
6/1/2018,01NAR-85,2837.5241666666675
6/1/2018,01NAU-85,2829.188333333334
6/1/2018,01NEC-85,2745.6654166666663
6/1/2018,01NET-85,2818.71125
6/1/2018,01NFA-85,2833.245833333333
6/1/2018,01NIS-85,2852.8799999999997
6/1/2018,01NLE-85,2846.0299999999993
6/1/2018,01NON-85,2821.0241666666666
6/1/2018,01NTG-115,2820.350833333334
6/1/2018,01OCE-230,2820.8579166666664
6/1/2018,01ODB-230,2833.4779166666667
6/1/2018,01OLI-230,2831.0766666666673
6/1/2018,01OTM-230,2777.8541666666665
6/1/2018,01PAC-85,2852.9091666666664
6/1/2018,01PAT-85,2823.594583333333
6/1/2018,01PCC-85,2823.0908333333336
6/1/2018,01PDO-115,2802.7708333333326
6/1/2018,01PEN-230,2820.7929166666668
6/1/2018,01PEV-230,2820.6616666666664
6/1/2018,01PEX-85,2824.4341666666664
6/1/2018,01PHC-230,2780.1537499999995
6/1/2018,01PIR-85,2799.8875000000003
6/1/2018,01PIT-400,2702.227916666667
6/1/2018,01PLO-115,2888.431666666667
6/1/2018,01PLZ-115,2804.8799999999997
6/1/2018,01PMT-115,2701.1175
6/1/2018,01PMX1115,2774.8633333333332
6/1/2018,01PMX2115,2691.5112500000005
6/1/2018,01PNN-230,2818.613333333333
6/1/2018,01PNT-85,2839.268333333333
6/1/2018,01POO-230,2820.1745833333334
6/1/2018,01PQI-115,2784.9983333333334
6/1/2018,01PRO-85,2846.0904166666664
6/1/2018,01PSR-85,2849.0966666666664
6/1/2018,01PTH-85,2833.7354166666664
6/1/2018,01PTL-85,2729.3741666666665
6/1/2018,01PXA-85,2826.952916666667
6/1/2018,01PYG-230,2783.6541666666667
6/1/2018,01RAT-230,2780.9795833333333
6/1/2018,01RBS-85,2844.96625
6/1/2018,01REF-85,2841.7983333333327
6/1/2018,01REM-230,2819.4258333333332
6/1/2018,01REM-85,2818.957083333334
6/1/2018,01RES-230,2806.869166666667
6/1/2018,01RES-85,2811.736666666668
6/1/2018,01RSL-230,2822.234583333333
6/1/2018,01SAF-85,2844.94125
6/1/2018,01SAO-85,2746.5166666666664
6/1/2018,01SCD-230,2697.464583333333
6/1/2018,01SDI-85,2833.8612500000004
6/1/2018,01SKP-85,2816.7950000000005
6/1/2018,01SMT-115,2801.241666666667
6/1/2018,01SNG-230,2831.2225000000003
6/1/2018,01SOX-230,2801.9845833333334
6/1/2018,01SSE-115,2817.867916666666
6/1/2018,01SSO-85,2844.0
