Fecha,Clave_del_nodo,pml_mean
1/1/2018,01AAN-85,670.9525
1/1/2018,01AAP-85,642.985
1/1/2018,01ACC-85,635.37375
1/1/2018,01ACM-85,634.2637500000001
1/1/2018,01ACN-85,636.6591666666667
1/1/2018,01ACO-230,630.6433333333332
1/1/2018,01ACS-230,629.0204166666667
1/1/2018,01AGU-230,638.5408333333334
1/1/2018,01AGV-85,644.8041666666667
1/1/2018,01AIN-115,642.2250000000001
1/1/2018,01ALR-85,634.4537499999999
1/1/2018,01AMO-85,644.14
1/1/2018,01ANL-85,651.98125
1/1/2018,01ANM-115,638.815
1/1/2018,01ANS-85,639.9779166666667
1/1/2018,01ANU-115,656.6595833333333
1/1/2018,01ANU-69,656.6595833333333
1/1/2018,01ARA-85,636.0595833333334
1/1/2018,01ARX-230,627.8558333333332
1/1/2018,01ASK-230,629.42125
1/1/2018,01ATE-230,641.8216666666666
1/1/2018,01ATE-85,641.5533333333334
1/1/2018,01ATG-69,635.8391666666668
1/1/2018,01ATI-230,636.47625
1/1/2018,01ATK-230,634.9041666666667
1/1/2018,01ATM-115,651.60875
1/1/2018,01ATS-115,629.9958333333333
1/1/2018,01ATU-115,641.0658333333333
1/1/2018,01AUM-85,635.7033333333333
1/1/2018,01AUO-115,622.2770833333333
1/1/2018,01AUR-230,635.0816666666666
1/1/2018,01AVA-115,640.7837500000002
1/1/2018,01AVT-85,641.9829166666666
1/1/2018,01AYO-230,635.7183333333332
1/1/2018,01AZC-230,636.7987499999999
1/1/2018,01BAR-85,636.6591666666667
1/1/2018,01BBR-115,640.8458333333334
1/1/2018,01BBV-230,636.6733333333333
1/1/2018,01BDK-85,634.4616666666667
1/1/2018,01CAH-85,636.5466666666665
1/1/2018,01CAR-85,637.4587500000001
1/1/2018,01CAY-115,631.5870833333332
1/1/2018,01CCM-115,648.50375
1/1/2018,01CCZ-230,627.2462499999999
1/1/2018,01CDS-85,641.555
1/1/2018,01CEA-85,630.6858333333334
1/1/2018,01CEI-230,635.035
1/1/2018,01CFD-230,635.0833333333333
1/1/2018,01CFI-230,634.9804166666667
1/1/2018,01CFZ-85,674.6504166666665
1/1/2018,01CHA-85,639.6229166666666
1/1/2018,01CHE-85,636.6591666666667
1/1/2018,01CHN-230,633.95375
1/1/2018,01CJM-230,638.7062500000001
1/1/2018,01CMC-230,635.4341666666667
1/1/2018,01CMO-115,657.0699999999999
1/1/2018,01CNA-69,637.7799999999999
1/1/2018,01COA-230,637.77
1/1/2018,01COM-115,644.4662499999998
