Fecha,Clave_del_nodo,pml_mean
6/1/2017,01AAN-85,1955.3175000000008
6/1/2017,01AAP-85,1870.1104166666664
6/1/2017,01ACC-85,1845.9479166666667
6/1/2017,01ACM-85,1848.37375
6/1/2017,01ACN-85,1859.4104166666666
6/1/2017,01ACO-230,1827.1991666666663
6/1/2017,01ACS-230,1820.3887499999998
6/1/2017,01AGU-230,1855.6329166666667
6/1/2017,01AGV-85,1865.3125
6/1/2017,01AIN-115,1861.0366666666669
6/1/2017,01ALR-85,1850.2162499999997
6/1/2017,01AMO-85,1874.3433333333332
6/1/2017,01ANL-85,1895.5599999999995
6/1/2017,01ANM-115,1832.22875
6/1/2017,01ANS-85,1851.7604166666663
6/1/2017,01ANU-115,1896.36
6/1/2017,01ANU-69,1896.36
6/1/2017,01ARA-85,1849.3625000000004
6/1/2017,01ARX-230,1814.9033333333334
6/1/2017,01ASK-230,1814.207083333334
6/1/2017,01ATE-230,1861.7454166666666
6/1/2017,01ATE-85,1860.8741666666665
6/1/2017,01ATG-69,1788.0979166666664
6/1/2017,01ATI-230,1848.1579166666668
6/1/2017,01ATK-230,1845.859166666666
6/1/2017,01ATM-115,1878.1987499999998
6/1/2017,01ATS-115,1773.4095833333333
6/1/2017,01ATU-115,1856.3708333333327
6/1/2017,01AUM-85,1847.758333333334
6/1/2017,01AUO-115,1816.9158333333337
6/1/2017,01AUR-230,1840.2970833333336
6/1/2017,01AVA-115,1837.7720833333333
6/1/2017,01AVT-85,1862.6141666666665
6/1/2017,01AYO-230,1841.48625
6/1/2017,01AZC-230,1848.1145833333337
6/1/2017,01BAR-85,1859.2120833333336
6/1/2017,01BBR-115,1839.0899999999995
6/1/2017,01BBV-230,1848.4079166666668
6/1/2017,01BDK-85,1850.4025
6/1/2017,01CAH-85,1859.2975
6/1/2017,01CAR-85,1851.748333333333
6/1/2017,01CAY-115,1779.05875
6/1/2017,01CCM-115,1864.1166666666668
6/1/2017,01CCZ-230,1812.2408333333333
6/1/2017,01CDS-85,1865.3445833333337
6/1/2017,01CEA-85,1825.2229166666668
6/1/2017,01CEI-230,1844.1879166666668
6/1/2017,01CFD-230,1843.6020833333334
6/1/2017,01CFI-230,1843.3183333333327
6/1/2017,01CFZ-85,1967.9904166666665
6/1/2017,01CHA-85,1850.364166666667
6/1/2017,01CHE-85,1859.3008333333335
6/1/2017,01CHN-230,1837.3154166666666
6/1/2017,01CJM-230,1848.8566666666663
6/1/2017,01CMC-230,1848.2791666666665
6/1/2017,01CMO-115,1897.8075000000001
6/1/2017,01CNA-69,1788.0979166666664
6/1/2017,01COA-230,1849.019166666667
6/1/2017,01COM-115,1862.9600000000003
6/1/2017,01COY-230,1856.5787499999997
6/1/2017,01CPG-230,1832.695833333334
6/1/2017,01CPM-230,1845.3912500000004
6/1/2017,01CRG-230,1843.9416666666668
6/1/2017,01CRG-85,1843.055833333333
6/1/2017,01CRM-85,1821.6516666666664
6/1/2017,01CRS-230,1850.587083333333
6/1/2017,01CRU-230,1843.7150000000004
6/1/2017,01CSN-115,1883.2904166666667
6/1/2017,01CSR-115,1776.3700000000001
6/1/2017,01CTD-230,1854.7345833333336
6/1/2017,01CTG-230,1842.1404166666664
6/1/2017,01CTT-85,1852.6912499999999
6/1/2017,01CVD-85,1848.60875
6/1/2017,01CYO-85,1853.18875
6/1/2017,01DAA-230,1856.5787499999997
6/1/2017,01DCA-85,1887.7175000000004
6/1/2017,01DCO-85,1853.7350000000004
6/1/2017,01DOG-115,1829.9154166666667
6/1/2017,01DVA-230,1843.8412500000002
6/1/2017,01ECA-230,1841.8933333333332
6/1/2017,01ECB-115,1832.2058333333334
6/1/2017,01ECR-230,1865.7995833333334
6/1/2017,01EDB-115,1837.0320833333328
6/1/2017,01ELG-115,1852.1145833333337
6/1/2017,01ENB-115,1837.3429166666667
6/1/2017,01ESB-115,1833.6479166666675
6/1/2017,01EST-230,1844.5858333333326
6/1/2017,01ETB-115,1832.6029166666667
6/1/2017,01EUB-115,1838.9962499999992
6/1/2017,01EVD-230,1836.4287500000003
6/1/2017,01FMC-85,1848.3975
6/1/2017,01FPG-115,1848.0008333333333
6/1/2017,01FRR-115,1888.5354166666668
6/1/2017,01GMC-85,1861.0154166666664
6/1/2017,01GMY-115,1777.2125000000003
6/1/2017,01GUA-85,1851.8712500000001
6/1/2017,01HTC-85,1854.3762500000003
6/1/2017,01HTM-115,1858.7720833333333
6/1/2017,01HTT-85,1852.7479166666662
6/1/2017,01INM-85,1864.230833333333
6/1/2017,01INN-85,1853.0220833333333
6/1/2017,01INS-85,1850.1245833333332
6/1/2017,01INU-115,1846.0174999999997
6/1/2017,01IRO-230,1814.207083333334
6/1/2017,01ISC-85,1846.5408333333335
6/1/2017,01ISO-115,1781.0741666666663
6/1/2017,01ITD-115,1851.2725
6/1/2017,01IUN-115,1843.705
6/1/2017,01IXL-230,1840.272916666667
6/1/2017,01IXS-115,1851.3433333333332
6/1/2017,01IXT-115,1839.0899999999995
6/1/2017,01IZT-230,1846.5462499999996
6/1/2017,01JAM-85,1849.5650000000003
6/1/2017,01JAS-85,1808.6274999999998
6/1/2017,01JCP-85,1861.12625
6/1/2017,01JDV-85,1854.002083333333
6/1/2017,01JID-115,1807.6058333333337
6/1/2017,01JIL-115,1807.84375
6/1/2017,01JJA-85,1846.4691666666668
6/1/2017,01JLC-230,1846.848333333334
6/1/2017,01JRB-230,1814.8804166666666
6/1/2017,01JUA-85,1955.1566666666665
6/1/2017,01KCR-230,1848.1720833333338
6/1/2017,01KDM-85,1861.0145833333338
6/1/2017,01LAC-115,1853.4883333333335
6/1/2017,01LAP-230,1838.6724999999997
6/1/2017,01LAQ-85,1854.3075
6/1/2017,01LAZ-85,1849.5650000000003
6/1/2017,01LCD-115,1778.1533333333336
6/1/2017,01LCP-230,1771.0641666666668
6/1/2017,01LCP-400,1765.6929166666669
6/1/2017,01LCT-85,1845.09875
6/1/2017,01LEC-85,1852.6641666666665
6/1/2017,01LER-85,1620.7579166666665
6/1/2017,01LES-115,1839.0604166666665
6/1/2017,01LFG-230,1815.1687499999998
6/1/2017,01LOM-85,1862.5141666666668
6/1/2017,01LQX-85,1853.0079166666671
6/1/2017,01LVE-230,1848.4058333333332
6/1/2017,01MAD-230,1847.42125
6/1/2017,01MAG-85,1845.96375
6/1/2017,01MER-230,1848.8820833333336
6/1/2017,01MGR-85,1847.5562500000003
6/1/2017,01MIR-115,1780.9604166666668
